media,country,week,articles
en_GBR_guardi,RUS,2015-02-16,24.8333333333
en_AUS_hersun,NRU,2014-05-26,2
es_MEX_jormex,BEL,2014-05-19,1
fr_BEL_lesoir,PSE,2014-08-04,25.5
en_CHN_chinad,PHL,2015-04-27,0.5
es_BOL_larazo,RUS,2014-12-29,2
en_ZWE_chroni,HKG,2014-08-18,1
en_USA_nytime,DEU,2014-04-21,1
es_ESP_catalu,CHN,2014-03-24,3.5
es_MEX_univer,AUS,2014-10-27,4
fr_BEL_derheu,VAT,2014-11-24,3
es_MEX_jormex,ARG,2014-07-07,2
en_MYS_starmy,SRB,2014-11-10,5.3333333333
en_AUS_austra,UKR,2014-12-15,0.5
en_ZWE_chroni,CIV,2014-12-01,1
es_VEN_univer,CHN,2014-12-08,3.8333333333
en_GBR_guardi,IND,2015-05-04,4
es_MEX_jormex,FRA,2014-11-03,2
en_GBR_dailyt,CHN,2014-01-20,11
en_MYS_starmy,SRB,2014-04-21,1
en_NZL_nzhera,SYR,2014-06-02,13.5
en_USA_nytime,BHR,2014-09-01,0.5
fr_FRA_lmonde,ITA,2015-06-08,5
en_CHN_chinad,EGY,2014-03-10,1
es_CHL_tercer,PNG,2015-05-04,0.5
en_MYS_starmy,NOR,2014-08-18,0.3333333333
en_MYS_starmy,POL,2014-06-23,8.5
es_BOL_larazo,PRY,2015-02-09,1
es_CHL_tercer,USA,2015-04-20,14.6666666667
en_MYS_starmy,TUR,2014-05-05,5.5
en_ZWE_chroni,LBY,2014-09-29,1
es_CHL_mercur,VEN,2014-04-21,14.8333333333
en_GBR_guardi,HUN,2015-02-23,2
fr_FRA_lmonde,HUN,2014-11-17,1
en_MYS_starmy,ZAF,2015-05-25,3
en_IND_tindia,VEN,2014-09-22,1
en_MYS_starmy,NOR,2015-04-06,1
en_CHN_mopost,LBY,2015-03-30,1
fr_DZA_xpress,CHN,2014-04-21,0.3333333333
en_MYS_starmy,MAR,2014-06-16,0.5
en_ZWE_chroni,TGO,2015-02-02,2
es_CHL_mercur,URY,2015-02-23,9.5
es_ARG_nacion,SYR,2014-06-23,2
en_IND_hindti,CHN,2015-04-06,4.5
es_MEX_univer,NOR,2014-10-06,1
en_GBR_guardi,BEL,2015-02-16,4
en_IND_hindti,SAU,2015-01-12,1
fr_FRA_lepari,ITA,2014-03-17,1.5
