id_media,week,id_country,article_nb
en_NGA_thiday_int,2014-04-28,JAM,1
en_PAK_newint_int,2014-09-01,PSE,1.5
en_GBR_dailyt_int,2014-10-06,SYR,8.8333333333
en_IND_hindti_int,2015-06-29,SSD,0.5
en_GBR_dailyt_int,2015-01-26,IRL,1
en_ZWE_chroni_int,2014-04-14,MYS,1
en_SGP_twoday_int,2014-10-06,GBR,26
en_SGP_twoday_int,2015-06-08,ESP,5.3333333333
en_NZL_nzhera_int,2015-05-04,MKD,13
fr_CAN_jmontr_int,2014-06-30,PAK,1
en_NZL_nzhera_int,2015-02-02,SLV,4.5
en_JPN_jatime_int,2014-04-14,DEU,3
es_MEX_jormex_int,2015-04-06,PAK,0.3333333333
fr_FRA_lmonde_int,2015-03-09,SWE,2
es_MEX_jormex_int,2015-05-18,IRQ,2
fr_DZA_elwata_int,2014-08-04,PSE,2.5
en_CHN_chinad_int,2014-01-06,VEN,1
es_ESP_catalu_int,2015-03-16,ATG,1
en_MYS_starmy_int,2015-06-08,EGY,19.5
es_BOL_patria_int,2014-08-25,SYR,4.5
en_PAK_newint_int,2015-01-19,PSE,1.5
en_PAK_newint_int,2014-11-17,MAR,1
es_CHL_mercur_int,2014-07-07,UKR,3.75
fr_DZA_xpress_int,2014-08-11,USA,2.6666666667
en_CAN_starca_int,2014-12-01,USA,8.3333333333
en_SGP_twoday_int,2015-03-16,ZAF,1
en_GBR_guardi_int,2015-02-16,AUS,15.5
en_MYS_starmy_int,2014-12-08,IRN,9.8333333333
es_MEX_univer_int,2014-12-29,TUN,2
en_IND_hindti_int,2014-06-30,AFG,4
en_GBR_guardi_int,2014-11-24,VAT,10
es_VEN_univer_int,2014-09-01,SAU,1
es_MEX_jormex_int,2015-03-02,ARG,1
en_GBR_dailyt_int,2014-01-20,FRA,23.5
en_CAN_starca_int,2014-01-13,HTI,1
en_CHN_mopost_int,2015-03-02,BEL,0.3333333333
en_MYS_starmy_int,2014-12-01,AUS,5
fr_DZA_xpress_int,2014-04-14,QAT,1
en_PAK_newint_int,2014-03-17,ITA,2
en_CHN_chinad_int,2014-11-24,FRA,0.5
fr_FRA_lmonde_int,2014-03-10,ITA,3
es_ESP_catalu_int,2014-10-06,RUS,2
en_GBR_dailyt_int,2014-10-06,PSE,2
en_GBR_guardi_int,2014-07-21,SYR,2
en_IND_tindia_int,2014-10-27,RUS,4
es_ARG_nacion_int,2014-04-14,NGA,4
en_GBR_guardi_int,2015-05-11,PHL,5.5
fr_FRA_lmonde_int,2015-04-27,PAK,1
es_BOL_larazo_int,2014-12-08,ESP,1
es_MEX_univer_int,2015-06-08,BRA,1
en_PAK_newint_int,2014-11-10,PRK,0.5
en_AUS_austra_int,2014-10-20,UKR,2.5
en_GBR_guardi_int,2014-12-01,SOM,2
en_MYS_starmy_int,2014-09-01,BEL,0.3333333333
fr_FRA_lepari_int,2014-07-07,USA,4
es_MEX_univer_int,2014-08-25,QAT,1
en_GBR_dailyt_int,2015-01-19,ZMB,5
en_JPN_jatime_int,2014-11-24,MEX,0.5
en_NZL_nzhera_int,2015-03-02,CHL,9.5
es_ESP_catalu_int,2015-01-05,VEN,1
es_ARG_nacion_int,2015-06-01,UKR,2.8333333333
es_CHL_tercer_int,2014-04-07,VEN,24.3333333333
es_VEN_univer_int,2015-06-22,POL,2.3333333333
en_NZL_nzhera_int,2015-02-23,GUY,2
fr_DZA_elwata_int,2014-03-03,UKR,1
en_GBR_dailyt_int,2014-07-28,USA,47.75
en_MYS_starmy_int,2014-09-08,FRA,5.1666666667
en_NGA_thiday_int,2014-08-04,ZMB,1
en_USA_nytime_int,2014-01-20,ITA,5
fr_FRA_lmonde_int,2015-06-08,KOR,3.5
en_ZWE_chroni_int,2014-06-30,IRQ,1
en_AUS_austra_int,2014-10-06,SVN,1
en_GBR_dailyt_int,2014-09-22,ALB,0.5
es_MEX_univer_int,2015-05-25,LBY,2
en_MYS_starmy_int,2014-09-08,ZMB,1
en_IND_hindti_int,2015-04-20,BGD,1
fr_DZA_xpress_int,2014-04-07,UKR,3
en_PAK_newint_int,2014-02-10,MAR,0.5
en_SGP_twoday_int,2014-07-28,SEN,1
en_CHN_chinad_int,2014-09-15,IDN,1
es_CHL_tercer_int,2014-10-27,ZMB,1
en_NZL_nzhera_int,2014-12-08,DNK,0.8333333333
en_CHN_chinad_int,2015-04-13,CRI,1
es_MEX_univer_int,2015-06-22,GTM,1
es_CHL_tercer_int,2014-12-15,JOR,1
en_CAN_starca_int,2014-12-01,IND,5
en_NZL_nzhera_int,2015-06-22,ARM,10
en_SGP_twoday_int,2015-02-16,UKR,85.5
en_NZL_nzhera_int,2015-06-08,OMN,2
en_SGP_twoday_int,2014-11-10,TUR,9.5
en_USA_wapost_int,2014-03-03,CAF,1
es_MEX_univer_int,2015-01-12,POL,1
fr_CAN_jmontr_int,2014-08-18,CHL,1
en_CHN_mopost_int,2014-02-17,HUN,1
en_MLT_tmalta_int,2014-06-23,POL,1
