"","stories_id","publish_date","title","url","language","ap_syndicated","themes","media_id","media_name","media_url","media_pub_country","media_pub_state","media_language","media_about_country","media_media_type"
"282394",645747258,"2017-06-21 00:01:04","À Paris, ce centre d'aide alimentaire distribue les invendus des commerces","http://www.lefigaro.fr/conso/2017/06/21/20010-20170621ARTFIG00018--paris-ce-centre-d-aide-alimentaire-distribue-les-invendus-des-commerces.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"14907",342389158,"2015-05-07 02:14:27","La Chose reprend le chemin de la croissance","http://www.lefigaro.fr/medias/2015/05/07/20004-20150507ARTFIG00045-la-chose-reprend-le-chemin-de-la-croissance.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"330012",827968238,"2018-03-20 13:01:38","Programme TV du mardi 20 mars 2018 : ce qu’il faut regarder à la télé","http://tvmag.lefigaro.fr/programme-tv/programme-tv-du-mardi-20-mars-2018-ce-qu-il-faut-regarder-a-la-tele_301476b6-2c46-11e8-8394-fbe9686e2665/","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"260795",583332391,"2017-02-19 11:50:52","Marie Rose Moro : «La phobie scolaire progresse en Europe»","http://www.lefigaro.fr/actualite-france/2017/02/19/01016-20170219ARTFIG00121-marie-rose-moro-la-phobie-scolaire-progresse-en-europe.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"22884",351673867,"2015-06-09 09:18:01","Procès Tintin : que contient le mystérieux contrat de 1942 ?","http://www.lefigaro.fr/bd/2015/06/09/03014-20150609ARTFIG00201-proces-tintin-que-contient-le-mysterieux-contrat-de-1942.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"326688",811979796,"2018-03-01 08:00:00","Du vin effervescent en pinte pour l'après-Brexit","http://avis-vin.lefigaro.fr/economie-du-vin/o135543-du-vin-effervescent-en-pinte-pour-l-apres-brexit","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"346271",904972806,"2018-06-18 12:57:35","Mondial 2018 : la Belgique déroule face au Panama","http://sport24.lefigaro.fr/football/coupe-du-monde/russie-2018/Fil-info/mondial-2018-la-belgique-deroule-face-au-panama-914032","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"2002",320667654,"2015-02-21 10:37:27","Oscars 2015 : des manifestations contre le manque de diversité menacent la cérémonie","http://www.lefigaro.fr/cinema/ceremonie-oscars/2015/02/21/03021-20150221ARTFIG00150-oscars-2015-des-manifestations-contre-le-manque-de-diversite-menacent-la-ceremonie.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"286775",658323298,"2017-07-16 13:47:51","Tour de France: le classement général","http://sport24.lefigaro.fr/cyclisme/tour-de-france/fil-info/tour-de-france-le-classement-general-868608","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"329268",824300858,"2018-03-15 15:22:26","Toys“R”Us rayé de la carte aux États-Unis","http://www.lefigaro.fr/societes/2018/03/15/20005-20180315ARTFIG00388-toys8220r8221us-raye-de-la-carte-aux-etats-unis.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"376915",1098146583,"2016-08-24 16:15:00","Syrie : l'intervention turque contre Daech est un prétexte pour lutter contre les Kurdes","http://www.lefigaro.fr/vox/monde/2016/08/24/31002-20160824ARTFIG00241-syrie-l-intervention-turque-contre-daech-est-un-pretexte-pour-lutter-contre-les-kurdes.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"137958",441669801,"2016-04-04 01:46:51","Jacques Cheminade candidat à la présidentielle","http://feeds.lefigaro.fr/c/32266/f/438191/s/4eb32bbb/sc/3/l/0L0Slefigaro0Bfr0Cflash0Eactu0C20A160C0A40C0A40C970A0A10E20A160A40A4FILWWW0A0A0A20A0Ejacques0Echeminade0Ecandidat0Ea0Ela0Epresidentielle0Bphp/story01.htm","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"302049",705933360,"2017-10-13 12:05:51","Législatives en Autriche : virage à droite en perspective","http://www.lefigaro.fr/international/2017/10/13/01003-20171013ARTFIG00266-virage-a-droite-en-perspective-en-autriche.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"250005",566652683,"2017-01-13 02:44:57","SpiceJet achète 205 Boeing pour 20,6 milliards d'euros","http://www.lefigaro.fr/societes/2017/01/13/20005-20170113ARTFIG00059-spicejet-achete-205-boeing-pour-206-milliards-d-euros.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"311303",737675812,"2017-12-05 18:08:15","Bayern-PSG: Nos Tops et Flops de la rencontre","http://sport24.lefigaro.fr/football/ligue-des-champions/fil-info/bayern-psg-nos-tops-et-flops-de-la-rencontre-887747","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"387005",1176487576,"2019-01-27 12:41:56","Toulon arrache la victoire face au Stade Français dans les dernières secondes","http://sport24.lefigaro.fr/rugby/top-14/fil-info/toulon-arrache-la-victoire-face-au-stade-francais-dans-les-dernieres-secondes-942561","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"193003",138400695,"2013-07-16 13:11:00","Vidalies ralentit ses activités (santé)","http://feeds.lefigaro.fr/c/32266/f/438191/s/2ebb86a1/l/0L0Slefigaro0Bfr0Cflash0Eactu0C20A130C0A70C160C970A0A10E20A130A716FILWWW0A0A340A0Evidalies0Eralentit0Eses0Eactivites0Esante0Bphp/story01.htm","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"25586",318044556,"2015-02-12 05:49:40","Pékin veut jouer les médiateurs en Afghanistan","http://feeds.lefigaro.fr/c/32266/f/438191/s/4351301f/sc/37/l/0L0Slefigaro0Bfr0Cflash0Eactu0C20A150C0A20C120C970A0A10E20A150A212FILWWW0A0A1420Epekin0Eveut0Ejouer0Eles0Emediateurs0Een0Eafghanistan0Bphp/story01.htm","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"76262",389719978,"2015-10-22 01:07:28","Le Pen, invitée sur France 2, crée la polémique","http://feeds.lefigaro.fr/c/32266/f/438191/s/4adfc5de/sc/13/l/0L0Slefigaro0Bfr0Cflash0Eactu0C20A150C10A0C220C970A0A10E20A1510A22FILWWW0A0A0A350Ele0Epen0Einvitee0Esur0Efrance0E20Ecree0Ela0Epolemique0Bphp/story01.htm","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"330277",829154772,"2018-03-21 16:43:53","Trump défend son message de félicitations à Poutine","http://www.lefigaro.fr/flash-actu/2018/03/21/97001-20180321FILWWW00367-trump-defend-son-message-de-felicitations-a-poutine.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"211814",197730004,"2014-01-27 17:47:00","Un homme soupçonné du viol de la mère de Fiona interpellé à Lyon","http://www.lefigaro.fr/actualite-france/2014/01/27/01016-20140127ARTFIG00557-un-homme-soupconne-du-viol-de-la-mere-de-fiona-interpelle-a-lyon.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"386761",1175065101,"2019-01-25 12:20:44","«Gilets jaunes»: la police parée pour l'acte XI","http://www.lefigaro.fr/actualite-france/2019/01/25/01016-20190125ARTFIG00246-gilets-jaunes-la-police-paree-pour-l-actexi.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"33878",360041462,"2015-07-09 12:20:12","«À Calais, une cinquantaine d'enquêteurs sont chargés de démanteler les trafics de migrants»","http://www.lefigaro.fr/actualite-france/2015/07/09/01016-20150709ARTFIG00244--calais-une-cinquantaine-d-enqueteurs-sont-charges-de-demanteler-les-trafics-de-migrants.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"339927",875185757,"2018-05-15 05:09:23","Orne : un garçon de 5 ans appelle les gendarmes et sauve son père inconscient","http://www.lefigaro.fr/actualite-france/2018/05/15/01016-20180515ARTFIG00109-orne-un-garcon-de-5-ans-appelle-les-gendarmes-et-sauve-son-pere-inconscient.php","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"19905",347331960,"2015-05-25 02:32:24","Malaisie: découverte de 139 fosses de migrants","http://feeds.lefigaro.fr/c/32266/f/438191/s/469d0eba/sc/3/l/0L0Slefigaro0Bfr0Cflash0Eactu0C20A150C0A50C250C970A0A10E20A150A525FILWWW0A0A0A120Emalaisie0Edecouverte0Ede0E1390Efosses0Ede0Emigrants0Bphp/story01.htm","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"141834",374820438,"2015-09-02 13:35:48","L'interrogatoire de Claude Guéant suspendu","http://feeds.lefigaro.fr/c/32266/f/438191/s/49843ba0/sc/3/l/0L0Slefigaro0Bfr0Cflash0Eactu0C20A150C0A90C0A20C970A0A10E20A150A90A2FILWWW0A0A3320El0Einterrogatoire0Ede0Eclaude0Egueant0Esuspendu0Bphp/story01.htm","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
"212458",122492367,"2013-05-30 16:23:00","Nigeria: droits homosexuels restreints","http://feeds.lefigaro.fr/c/32266/f/438191/s/2ca08a6e/l/0L0Slefigaro0Bfr0Cflash0Eactu0C20A130C0A50C30A0C970A0A10E20A130A530AFILWWW0A0A6460Enigeria0Edroits0Edes0Ehomosexuels0Erestreints0Bphp/story01.htm","fr","False","",39120,"lefigaro","http://www.lefigaro.fr/","France",NA,"French","Republic of France","Print Native"
